properties{
  x = 512,
  y = 0,
  width = 512,
  height = 488,
  min_layer = 0,
  max_layer = 2,
  world = "dungeon_castle",
  tileset = "temple_blue",
}

tile{
  layer = 0,
  x = 72,
  y = 344,
  width = 440,
  height = 144,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 336,
  y = 424,
  width = 24,
  height = 64,
  pattern = "wall_low.4",
}

tile{
  layer = 0,
  x = 112,
  y = 472,
  width = 48,
  height = 16,
  pattern = "wall_hole.1",
}

tile{
  layer = 0,
  x = 192,
  y = 456,
  width = 80,
  height = 16,
  pattern = "wall_hole.1",
}

tile{
  layer = 0,
  x = 144,
  y = 344,
  width = 128,
  height = 112,
  pattern = "floor_low.15",
}

tile{
  layer = 0,
  x = 152,
  y = 376,
  width = 8,
  height = 80,
  pattern = "wall_low_border.3",
}

tile{
  layer = 0,
  x = 64,
  y = 344,
  width = 80,
  height = 32,
  pattern = "floor_low.15",
}

tile{
  layer = 0,
  x = 128,
  y = 400,
  width = 24,
  height = 64,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 72,
  y = 448,
  width = 64,
  height = 24,
  pattern = "wall_low.1",
}

tile{
  layer = 0,
  x = 64,
  y = 376,
  width = 96,
  height = 8,
  pattern = "wall_low_border.2",
}

tile{
  layer = 0,
  x = 64,
  y = 344,
  width = 208,
  height = 8,
  pattern = "wall_low_border.1",
}

tile{
  layer = 0,
  x = 400,
  y = 0,
  width = 112,
  height = 344,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 400,
  y = 0,
  width = 16,
  height = 352,
  pattern = "wall_hole.3",
}

tile{
  layer = 0,
  x = 376,
  y = 0,
  width = 24,
  height = 336,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 48,
  y = 320,
  width = 336,
  height = 24,
  pattern = "wall_low.1",
}

tile{
  layer = 0,
  x = 216,
  y = 328,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.2",
}

tile{
  layer = 0,
  x = 192,
  y = 328,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.1",
}

tile{
  layer = 0,
  x = 200,
  y = 328,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1",
}

tile{
  layer = 0,
  x = 40,
  y = 344,
  width = 24,
  height = 48,
  pattern = "wall_low.3",
}

tile{
  layer = 0,
  x = 64,
  y = 344,
  width = 8,
  height = 32,
  pattern = "wall_low_border.3",
}

tile{
  layer = 0,
  x = 64,
  y = 344,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1",
}

tile{
  layer = 0,
  x = 64,
  y = 376,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3",
}

tile{
  layer = 0,
  x = 56,
  y = 384,
  width = 80,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 0,
  x = 376,
  y = 320,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.1",
}

tile{
  layer = 0,
  x = 152,
  y = 376,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner_reverse.3",
}

tile{
  layer = 0,
  x = 128,
  y = 448,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.1",
}

tile{
  layer = 0,
  x = 128,
  y = 384,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.3",
}

tile{
  layer = 0,
  x = 40,
  y = 384,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3",
}

tile{
  layer = 0,
  x = 72,
  y = 448,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1",
}

tile{
  layer = 0,
  x = 264,
  y = 344,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 264,
  y = 352,
  width = 8,
  height = 16,
  pattern = "barrier.2",
}

tile{
  layer = 0,
  x = 264,
  y = 368,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 152,
  y = 448,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 152,
  y = 456,
  width = 8,
  height = 24,
  pattern = "barrier.2",
}

tile{
  layer = 0,
  x = 192,
  y = 448,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 264,
  y = 448,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 200,
  y = 448,
  width = 64,
  height = 8,
  pattern = "barrier.1",
}

tile{
  layer = 0,
  x = 192,
  y = 456,
  width = 8,
  height = 24,
  pattern = "barrier.2",
}

tile{
  layer = 0,
  x = 152,
  y = 480,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 192,
  y = 480,
  width = 8,
  height = 8,
  pattern = "barrier.border",
}

tile{
  layer = 0,
  x = 272,
  y = 344,
  width = 128,
  height = 16,
  pattern = "wall_hole.1",
}

tile{
  layer = 0,
  x = 400,
  y = 344,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner_reverse.1",
}

tile{
  layer = 0,
  x = 96,
  y = 472,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.1",
}

tile{
  layer = 0,
  x = 320,
  y = 392,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner_reverse.4",
}

tile{
  layer = 0,
  x = 352,
  y = 408,
  width = 160,
  height = 24,
  pattern = "wall_low.2",
}

tile{
